party,start_date,end_date
Democratic,1933-03-04,1947-01-03
Republican,1947-01-03,1949-01-03
Democratic,1949-01-03,1981-01-03
Republican,1981-01-03,1987-01-03
Democratic,1987-01-03,1995-01-03
Republican,1995-01-03,2001-01-03
Republican,2001-01-03,2001-06-06
Democratic,2001-06-06,2003-01-03
Republican,2003-01-03,2007-01-03
Democratic,2007-01-03,2015-01-03
Republican,2015-01-03,2021-01-20
Democratic,2021-01-20,2025-01-03
