code,t,p,lex_auc,fire_rate,novelty
48,2.2338498,0.027197758,0.819001216631262,0.007146887342486364,0.4043240894890559
216,-3.3259025,0.0010785273,0.8997305621892152,0.5339477148768103,0.33348637007880805
363,-1.8556696,0.06639669,0.8206870959443298,0.007899191273274403,0.3327455081092155
384,-2.132764,0.034610946,0.8605787933872951,0.2450630054542035,0.2973525443856462
310,1.7233102,0.086580545,0.8343343527340132,0.009591875117547489,0.28549330505129444
341,1.8406812,0.06790214,0.8553942958325429,0.008651495204062441,0.26617300038823793
33,1.6995177,0.09100997,0.8443996550261671,0.061500846341922134,0.2644455445945032
705,2.026658,0.044257402,0.9037234631666001,0.05153281925898063,0.19511961918577408
936,1.7307032,0.08528336,0.926800661146921,0.530562347188264,0.12668633252891573
510,2.4498956,0.015392728,0.9509661512608197,0.02275719390633816,0.12012781127482935
337,1.8566614,0.06505744,0.9425239366167008,0.9815685536956931,0.10671359054595542
774,2.0613852,0.0410434,0.9557265105291024,0.005642279480910287,0.09126471394314299
